Customer_ID,Customer_Name,Customer_Address,Customer_City,Customer_State,Customer_Country,Email,Phone_Number
42949672960,Valerie George,46318 Patricia Knoll Apt. 856,Chandlerberg,Minnesota,Unknown,karengoodwin@example.org,Unknown
42949672961,Unknown,9290 Martin Causeway,Stephanieshire,Montana,Lebanon,steven83@example.org,Unknown
42949672962,Philip Rivera,031 Kennedy Mountains,Unknown,Rhode Island,Togo,wkennedy@example.net,+1-547-967-5960
42949672963,David Williams,Unknown,Bergland,Ohio,Bermuda,austin47@example.net,4535434496
42949672964,Unknown,92712 Brenda Coves Apt. 019,Wrightstad,Texas,Slovakia (Slovak Republic),klloyd@example.net,001-367-748-1989x5393
42949672965,Charles Allison,2165 Werner Drive Suite 382,East Kirsten,Maryland,Unknown,mreyes@example.com,Unknown
42949672966,Mr. David Townsend,3617 Cindy Prairie,Markville,Wyoming,Mozambique,jsingh@example.com,Unknown
42949672967,Brandon Oconnor,7242 Garcia Stravenue Suite 678,Tranborough,Idaho,Zimbabwe,jamesevans@example.org,001-778-477-5932x12553
42949672968,Kevin Nixon,8281 Leslie Path Suite 131,Walkerfurt,Kansas,Portugal,griffinlisa@example.net,787-917-2710
42949672969,Edwin Gonzalez,9333 Nicole Orchard Suite 810,Prattville,Virginia,Cook Islands,zamoralauren@example.org,946.871.8073
42949672970,Erin Montgomery,81362 Luis Passage,West Gregoryton,Texas,Bolivia,jonathan84@example.com,395-218-2081
42949672971,Unknown,Unknown,Whiteport,Unknown,Finland,adam39@example.org,9107925197
42949672972,Tiffany Santos,14951 Silva Mountains Apt. 364,Lake Elizabethbury,Colorado,Eritrea,ochoacindy@example.org,709.354.7296
42949672973,Jessica Hamilton,591 Nelson Road Apt. 304,Unknown,Maine,Serbia,kelseylyons@example.org,+1-858-404-2191x2291
42949672974,Brenda Mcgee,6566 Kyle Squares,Wrightton,Utah,Isle of Man,philipgomez@example.org,448.506.0936x0346
42949672975,Ronnie Richardson,950 Nicole Drives,Mercadofurt,Maryland,India,patrick95@example.org,603-995-8579x561
42949672976,Anthony Smith,9321 Elizabeth Inlet Suite 076,New Benjamin,Maryland,Unknown,josephwalsh@example.org,6907355001
42949672977,Katelyn Romero,35481 Ashley Rapid,Unknown,Oklahoma,Lao People's Democratic Republic,westdaniel@example.com,8252412655
42949672978,James Wright,90783 Roberts Spurs,Chambersmouth,South Carolina,Saint Kitts and Nevis,eweaver@example.org,511-662-7304
42949672979,David Mathis,96197 Susan Summit,East Jacqueline,Arkansas,Libyan Arab Jamahiriya,theresaperez@example.org,208.757.9615
42949672980,Unknown,892 Patel Springs,New Nicholas,Unknown,Mayotte,Unknown,955.652.2913
42949672981,Ruben Dunn,279 Collins Heights,Cruzton,Texas,Unknown,qvang@example.com,763.518.0696x69112
42949672982,Matthew Murray,996 Jacqueline Green Suite 761,Leeberg,Georgia,Barbados,jerry41@example.com,Unknown
42949672983,Janet Kent,6194 Diamond Street,Mooretown,Hawaii,Netherlands Antilles,toddreeves@example.org,544.234.3591
42949672984,Matthew Martin,Unknown,South Justinside,Louisiana,Malaysia,hillsamantha@example.net,776.744.6706x4040
42949672985,Kevin Singh,Unknown,Hodgeschester,Minnesota,Saudi Arabia,millersarah@example.net,3344741501
42949672986,Benjamin Campbell,745 Pearson Field Apt. 192,Port Nichole,Connecticut,Indonesia,codyhall@example.net,224.441.5883
42949672987,Unknown,0248 Anderson Fall Suite 738,Port John,Louisiana,Sierra Leone,sward@example.org,9347569909
42949672988,Juan Proctor,8978 Kevin Brook Suite 712,Laurenhaven,Washington,Montenegro,jennifer05@example.com,001-499-225-2267x67020
42949672989,Eric Davidson,787 Warren Junction Apt. 191,West Michaelfort,Kentucky,Congo,wardlinda@example.org,(295)507-9786x537
42949672990,Crystal Williams,8701 Evans Throughway Suite 635,North Lisa,California,Denmark,qpearson@example.net,+1-780-584-8466x0296
42949672991,Alexander White,12244 Morrison Wells,Whiteland,North Carolina,Unknown,Unknown,383-532-3981
42949672992,Unknown,00645 Elliott Track Apt. 100,Unknown,South Dakota,Jersey,carterglenn@example.org,7233637364
42949672993,Unknown,Unknown,Ryanfurt,Montana,Romania,brooke43@example.org,662-380-2371
42949672994,Zachary Roach,716 Troy Circle,Dicksonmouth,Nevada,Nicaragua,Unknown,001-477-530-2035x270
42949672995,Randy Jones,2451 Melissa Trafficway,Vaughnfort,Tennessee,Niger,olsendaniel@example.com,001-585-481-6304x769
42949672996,Courtney Hall,232 Reyes Flats Suite 044,South Michaelberg,Florida,Pakistan,saragrant@example.com,(841)426-1018x051
42949672997,Tracy Evans,9671 Michael Squares Apt. 660,New Jaredside,Unknown,Fiji,steve00@example.org,(563)424-7368x86572
42949672998,David Acevedo,16118 James Crossroad Apt. 275,Lake Shellyton,Unknown,Colombia,whitekimberly@example.net,001-237-760-3896x4479
42949672999,Victoria King,18497 David Courts,East Davidview,Maryland,Mayotte,donald72@example.org,241.703.5161x325
42949673000,Dustin Hall,9540 Holmes Crossroad,Deborahchester,Unknown,Burundi,johnsilva@example.net,+1-636-701-3650x1174
42949673001,Shannon Nguyen,8458 Cynthia Creek,Hudsonfurt,Wyoming,Bangladesh,Unknown,001-566-285-0705x21689
42949673002,Robert Nielsen,26868 Hays Islands Apt. 250,Mossside,South Carolina,Tajikistan,alexandra62@example.com,+1-447-732-9582x8479
42949673003,Christopher Lopez,Unknown,East Carl,Iowa,Macao,rochaalyssa@example.net,609.703.8804
42949673004,Wendy Hampton,1457 Antonio Lane,Port Carlosburgh,Minnesota,Guadeloupe,drussell@example.org,722-529-7793
42949673005,Joshua Smith,38683 Martin Shores Apt. 988,New Ronaldland,Virginia,Gambia,williamsonjacqueline@example.com,264.876.6719x29878
